,disasterNumber,state,declarationType,incidentType,declarationTitle,incidentBeginDate,incidentEndDate,disasterCloseoutDate,designatedArea
0,2,TX,DR,Tornado,TORNADO & HEAVY RAINFALL,1953-05-15T04:00:00.000Z,1953-05-15T04:00:00.000Z,1958-01-01T05:00:00.000Z,Statewide
1,9,TX,DR,Flood,FLOOD,1953-06-19T04:00:00.000Z,1953-06-19T04:00:00.000Z,1958-01-01T05:00:00.000Z,Statewide
2,3,LA,DR,Flood,FLOOD,1953-05-29T04:00:00.000Z,1953-05-29T04:00:00.000Z,1960-02-01T05:00:00.000Z,Statewide
3,15,CA,DR,Flood,FLOOD & EROSION,1954-02-05T05:00:00.000Z,1954-02-05T05:00:00.000Z,1957-09-01T04:00:00.000Z,Statewide
4,18,TX,DR,Flood,FLOOD,1954-07-01T04:00:00.000Z,1954-07-01T04:00:00.000Z,1959-07-01T04:00:00.000Z,Statewide
5,26,NY,DR,Hurricane,HURRICANES,1954-10-07T05:00:00.000Z,1954-10-07T05:00:00.000Z,1956-12-01T05:00:00.000Z,Statewide
6,34,KS,DR,Tornado,TORNADO,1955-05-27T04:00:00.000Z,1955-05-27T04:00:00.000Z,1957-04-01T05:00:00.000Z,Statewide
7,45,NY,DR,Hurricane,HURRICANE & FLOODS,1955-08-22T04:00:00.000Z,1955-08-22T04:00:00.000Z,1957-02-01T05:00:00.000Z,Statewide
8,47,CA,DR,Flood,FLOOD,1955-12-23T05:00:00.000Z,1955-12-23T05:00:00.000Z,1968-08-12T04:00:00.000Z,Statewide
9,52,NY,DR,Flood,FLOOD,1956-03-29T05:00:00.000Z,1956-03-29T05:00:00.000Z,1957-03-01T05:00:00.000Z,Statewide
10,64,LA,DR,Hurricane,HURRICANE,1956-10-04T04:00:00.000Z,1956-10-04T04:00:00.000Z,1960-03-01T05:00:00.000Z,Statewide
11,65,CA,DR,Fire,FOREST FIRE,1956-12-29T05:00:00.000Z,1956-12-29T05:00:00.000Z,1959-04-01T05:00:00.000Z,Statewide
12,72,TX,DR,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS",1957-04-29T04:00:00.000Z,1957-04-29T04:00:00.000Z,1961-03-01T05:00:00.000Z,Statewide
13,73,LA,DR,Hurricane,FLOODS & HURRICANE,1957-05-16T04:00:00.000Z,1957-05-16T04:00:00.000Z,1960-08-01T04:00:00.000Z,Statewide
14,85,TX,DR,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",1958-06-06T04:00:00.000Z,1958-06-06T04:00:00.000Z,1961-03-01T05:00:00.000Z,Statewide
15,84,LA,DR,Flood,FLOODS,1958-05-20T04:00:00.000Z,1958-05-20T04:00:00.000Z,1960-09-01T04:00:00.000Z,Statewide
16,82,CA,DR,Flood,HEAVY RAINSTORMS & FLOOD,1958-04-04T05:00:00.000Z,1958-04-04T05:00:00.000Z,1961-08-01T04:00:00.000Z,Statewide
17,81,KS,DR,Flood,FLOODS,1957-09-05T04:00:00.000Z,1957-09-05T04:00:00.000Z,1959-01-01T05:00:00.000Z,Statewide
18,88,KS,DR,Flood,FLOODS,1958-11-06T05:00:00.000Z,1958-11-06T05:00:00.000Z,1961-03-01T05:00:00.000Z,Statewide
19,93,TX,DR,Flood,FLOODS,1959-07-08T04:00:00.000Z,1959-07-08T04:00:00.000Z,1961-01-27T05:00:00.000Z,Statewide
20,103,TX,DR,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",1960-07-15T04:00:00.000Z,1960-07-15T04:00:00.000Z,1962-10-04T04:00:00.000Z,Statewide
21,122,CA,DR,Flood,FLOODS,1962-03-06T05:00:00.000Z,1962-03-06T05:00:00.000Z,1964-02-03T05:00:00.000Z,Statewide
22,118,TX,DR,Hurricane,HURRICANE CARLA,1961-09-16T04:00:00.000Z,1961-09-16T04:00:00.000Z,1964-05-04T04:00:00.000Z,Statewide
23,139,LA,DR,Toxic Substances,CHLORINE BARGE ACCIDENT,1962-11-05T05:00:00.000Z,1962-11-05T05:00:00.000Z,1963-07-12T04:00:00.000Z,Statewide
24,119,CA,DR,Fire,FIRE (LOS ANGELES COUNTY),1961-11-16T05:00:00.000Z,1961-11-16T05:00:00.000Z,1963-08-01T04:00:00.000Z,Statewide
25,138,CA,DR,Flood,SEVERE STORMS & FLOODING,1962-10-24T04:00:00.000Z,1962-10-24T04:00:00.000Z,1964-12-03T05:00:00.000Z,Statewide
26,129,NY,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",1962-03-16T05:00:00.000Z,1962-03-16T05:00:00.000Z,1964-11-09T05:00:00.000Z,Statewide
27,145,CA,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1963-02-25T05:00:00.000Z,1963-02-25T05:00:00.000Z,1965-07-09T04:00:00.000Z,Statewide
28,158,NY,DR,Flood,HEAVY RAINS & FLOODING,1963-08-23T04:00:00.000Z,1963-08-23T04:00:00.000Z,1965-08-23T04:00:00.000Z,Statewide
29,159,TX,DR,Hurricane,HURRICANE CINDY,1963-09-24T04:00:00.000Z,1963-09-24T04:00:00.000Z,1966-01-28T05:00:00.000Z,Statewide
30,161,CA,DR,Dam/Levee Break,FLOOD DUE TO BROKEN DAM,1963-12-21T05:00:00.000Z,1963-12-21T05:00:00.000Z,1965-06-19T04:00:00.000Z,Statewide
31,169,CA,DR,Other,SEISMIC SEA WAVE,1964-04-01T05:00:00.000Z,1964-04-01T05:00:00.000Z,1967-01-19T05:00:00.000Z,Statewide
32,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Butte (County)
33,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Del Norte (County)
34,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Alpine (County)
35,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Colusa (County)
36,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Amador (County)
37,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Humboldt (County)
38,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Lake (County)
39,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Lassen (County)
40,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Marin (County)
41,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Glenn (County)
42,178,LA,DR,Hurricane,HURRICANE HILDA,1964-10-03T04:00:00.000Z,1964-10-03T04:00:00.000Z,1967-01-17T05:00:00.000Z,Statewide
43,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,El Dorado (County)
44,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Napa (County)
45,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Nevada (County)
46,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Mendocino (County)
47,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Modoc (County)
48,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Sacramento (County)
49,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,San Joaquin (County)
50,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Shasta (County)
51,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Siskiyou (County)
52,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Solano (County)
53,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Plumas (County)
54,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Placer (County)
55,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Sierra (County)
56,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Sonoma (County)
57,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Stanislaus (County)
58,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Sutter (County)
59,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Trinity (County)
60,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Tehama (County)
61,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Tuolumne (County)
62,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Yolo (County)
63,183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T05:00:00.000Z,1964-12-24T05:00:00.000Z,1976-04-05T05:00:00.000Z,Yuba (County)
64,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Freestone (County)
65,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Hale (County)
66,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Leon (County)
67,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Navarro (County)
68,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Rusk (County)
69,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Smith (County)
70,199,TX,DR,Tornado,TORNADOES & FLOODING,1965-06-19T04:00:00.000Z,1965-06-19T04:00:00.000Z,1967-05-18T04:00:00.000Z,Terrell (County)
71,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Butler (County)
72,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Ford (County)
73,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Barton (County)
74,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Grant (County)
75,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Finney (County)
76,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Kearny (County)
77,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Hamilton (County)
78,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Harvey (County)
79,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Lyon (County)
80,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,McPherson (County)
81,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Marion (County)
82,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Gray (County)
83,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Edwards (County)
84,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Chase (County)
85,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Greenwood (County)
86,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Sedgwick (County)
