date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
2020-03-06,KS,0,0,,,,
2020-03-07,KS,0,7,,,,0.0
2020-03-08,KS,1,1,,,,100.0
2020-03-09,KS,0,0,,,,
2020-03-10,KS,0,6,,,,0.0
2020-03-11,KS,0,24,,,,0.0
2020-03-12,KS,3,3,4.0,41.0,9.76,100.0
2020-03-13,KS,2,54,6.0,95.0,6.32,3.7
2020-03-14,KS,0,0,6.0,88.0,6.82,
2020-03-15,KS,2,44,7.0,131.0,5.34,4.55
2020-03-16,KS,3,34,10.0,165.0,6.06,8.82
2020-03-17,KS,4,220,14.0,379.0,3.69,1.82
2020-03-18,KS,1,36,15.0,391.0,3.84,2.78
2020-03-19,KS,18,18,30.0,406.0,7.39,100.0
2020-03-20,KS,10,10,38.0,362.0,10.5,100.0
2020-03-21,KS,11,11,49.0,373.0,13.14,100.0
2020-03-22,KS,9,9,56.0,338.0,16.57,100.0
2020-03-23,KS,18,18,71.0,322.0,22.05,100.0
2020-03-24,KS,16,1685,83.0,1787.0,4.64,0.95
2020-03-25,KS,28,302,110.0,2053.0,5.36,9.27
2020-03-26,KS,42,551,134.0,2586.0,5.18,7.62
2020-03-27,KS,34,394,158.0,2970.0,5.32,8.63
2020-03-28,KS,59,501,206.0,3460.0,5.95,11.78
2020-03-29,KS,58,581,255.0,4032.0,6.32,9.98
2020-03-30,KS,49,409,286.0,4423.0,6.47,11.98
2020-03-31,KS,60,502,330.0,3240.0,10.19,11.95
2020-04-01,KS,54,469,356.0,3407.0,10.45,11.51
2020-04-02,KS,70,718,384.0,3574.0,10.74,9.75
2020-04-03,KS,68,463,418.0,3643.0,11.47,14.69
2020-04-04,KS,78,504,437.0,3646.0,11.99,15.48
2020-04-05,KS,49,645,428.0,3710.0,11.54,7.6
2020-04-06,KS,98,861,477.0,4162.0,11.46,11.38
2020-04-07,KS,55,430,472.0,4090.0,11.54,12.79
2020-04-08,KS,146,669,564.0,4290.0,13.15,21.82
2020-04-09,KS,60,592,554.0,4164.0,13.3,10.14
2020-04-10,KS,60,639,546.0,4340.0,12.58,9.39
2020-04-11,KS,102,929,570.0,4765.0,11.96,10.98
2020-04-12,KS,69,910,590.0,5030.0,11.73,7.58
2020-04-13,KS,39,611,531.0,4780.0,11.11,6.38
2020-04-14,KS,50,283,526.0,4633.0,11.35,17.67
2020-04-15,KS,68,521,448.0,4485.0,9.99,13.05
2020-04-16,KS,94,1454,482.0,5347.0,9.01,6.46
2020-04-17,KS,117,779,539.0,5487.0,9.82,15.02
2020-04-18,KS,85,775,522.0,5333.0,9.79,10.97
2020-04-19,KS,59,454,512.0,4877.0,10.5,13.0
2020-04-20,KS,137,631,610.0,4897.0,12.46,21.71
2020-04-21,KS,39,340,599.0,4954.0,12.09,11.47
2020-04-22,KS,186,1102,717.0,5535.0,12.95,16.88
2020-04-23,KS,271,1115,894.0,5196.0,17.21,24.3
2020-04-24,KS,295,2270,1072.0,6687.0,16.03,13.0
2020-04-25,KS,279,1611,1266.0,7523.0,16.83,17.32
2020-04-26,KS,118,1028,1325.0,8097.0,16.36,11.48
2020-04-27,KS,154,940,1342.0,8406.0,15.96,16.38
2020-04-28,KS,163,923,1466.0,8989.0,16.31,17.66
2020-04-29,KS,247,1368,1527.0,9255.0,16.5,18.06
2020-04-30,KS,500,2168,1756.0,10308.0,17.04,23.06
2020-05-01,KS,211,1408,1672.0,9446.0,17.7,14.99
2020-05-02,KS,297,1908,1690.0,9743.0,17.35,15.57
2020-05-03,KS,284,1836,1856.0,10551.0,17.59,15.47
2020-05-04,KS,215,1825,1917.0,11436.0,16.76,11.78
2020-05-05,KS,213,1489,1967.0,12002.0,16.39,14.3
2020-05-06,KS,276,2022,1996.0,12656.0,15.77,13.65
2020-05-07,KS,410,2708,1906.0,13196.0,14.44,15.14
2020-05-08,KS,357,2886,2052.0,14674.0,13.98,12.37
2020-05-09,KS,250,2225,2005.0,14991.0,13.37,11.24
2020-05-10,KS,197,2572,1918.0,15727.0,12.2,7.66
2020-05-11,KS,168,1604,1871.0,15506.0,12.07,10.47
2020-05-12,KS,0,0,1658.0,14017.0,11.83,
2020-05-13,KS,352,3519,1734.0,15514.0,11.18,10.0
2020-05-14,KS,0,0,1324.0,12806.0,10.34,
2020-05-15,KS,418,3964,1385.0,13884.0,9.98,10.54
2020-05-16,KS,0,0,1135.0,11659.0,9.73,
2020-05-17,KS,0,0,938.0,9087.0,10.32,
2020-05-18,KS,454,5398,1224.0,12881.0,9.5,8.41
2020-05-19,KS,0,0,1224.0,12881.0,9.5,
2020-05-20,KS,199,4213,1071.0,13575.0,7.89,4.72
2020-05-21,KS,0,0,1071.0,13575.0,7.89,
2020-05-22,KS,419,5231,1072.0,14842.0,7.22,8.01
2020-05-23,KS,0,0,1072.0,14842.0,7.22,
2020-05-24,KS,0,0,1072.0,14842.0,7.22,
2020-05-25,KS,260,4965,878.0,14409.0,6.09,5.24
2020-05-26,KS,0,0,878.0,14409.0,6.09,
2020-05-27,KS,119,3089,798.0,13285.0,6.01,3.85
2020-05-28,KS,0,0,798.0,13285.0,6.01,
2020-05-29,KS,382,10461,761.0,18515.0,4.11,3.65
2020-05-30,KS,0,0,761.0,18515.0,4.11,
2020-05-31,KS,0,0,761.0,18515.0,4.11,
2020-06-01,KS,292,292,793.0,13842.0,5.73,100.0
2020-06-02,KS,0,8071,793.0,21913.0,3.62,0.0
2020-06-03,KS,159,4741,833.0,23565.0,3.53,3.35
2020-06-04,KS,0,0,833.0,23565.0,3.53,
2020-06-05,KS,223,5600,674.0,18704.0,3.6,3.98
2020-06-06,KS,0,0,674.0,18704.0,3.6,
2020-06-07,KS,0,0,674.0,18704.0,3.6,
2020-06-08,KS,257,5856,639.0,24268.0,2.63,4.39
2020-06-09,KS,0,0,639.0,16197.0,3.95,
2020-06-10,KS,162,4233,642.0,15689.0,4.09,3.83
2020-06-11,KS,0,0,642.0,15689.0,4.09,
2020-06-12,KS,235,5410,654.0,15499.0,4.22,4.34
2020-06-13,KS,0,0,654.0,15499.0,4.22,
2020-06-14,KS,0,0,654.0,15499.0,4.22,
2020-06-15,KS,372,7810,769.0,17453.0,4.41,4.76
2020-06-16,KS,0,0,769.0,17453.0,4.41,
2020-06-17,KS,262,5162,869.0,18382.0,4.73,5.08
2020-06-18,KS,0,0,869.0,18382.0,4.73,
2020-06-19,KS,378,5525,1012.0,18497.0,5.47,6.84
2020-06-20,KS,0,0,1012.0,18497.0,5.47,
2020-06-21,KS,0,0,1012.0,18497.0,5.47,
2020-06-22,KS,406,7364,1046.0,18051.0,5.79,5.51
2020-06-23,KS,0,0,1046.0,18051.0,5.79,
2020-06-24,KS,505,6692,1289.0,19581.0,6.58,7.55
2020-06-25,KS,0,0,1289.0,19581.0,6.58,
2020-06-26,KS,568,6154,1479.0,20210.0,7.32,9.23
2020-06-27,KS,0,0,1479.0,20210.0,7.32,
2020-06-28,KS,0,0,1479.0,20210.0,7.32,
2020-06-29,KS,905,8866,1978.0,21712.0,9.11,10.21
2020-06-30,KS,0,0,1978.0,21712.0,9.11,
2020-07-01,KS,547,6448,2020.0,21468.0,9.41,8.48
2020-07-02,KS,0,0,2020.0,21468.0,9.41,
2020-07-03,KS,929,8388,2381.0,23702.0,10.05,11.08
2020-07-04,KS,0,0,2381.0,23702.0,10.05,
2020-07-05,KS,0,0,2381.0,23702.0,10.05,
2020-07-06,KS,982,10658,2458.0,25494.0,9.64,9.21
2020-07-07,KS,0,0,2458.0,25494.0,9.64,
2020-07-08,KS,717,6263,2628.0,25309.0,10.38,11.45
2020-07-09,KS,0,0,2628.0,25309.0,10.38,
2020-07-10,KS,993,9297,2692.0,26218.0,10.27,10.68
2020-07-11,KS,0,0,2692.0,26218.0,10.27,
2020-07-12,KS,0,0,2692.0,26218.0,10.27,
2020-07-13,KS,1447,13396,3157.0,28956.0,10.9,10.8
2020-07-14,KS,0,0,3157.0,28956.0,10.9,
2020-07-15,KS,875,8199,3315.0,30892.0,10.73,10.67
2020-07-16,KS,0,0,3315.0,30892.0,10.73,
2020-07-17,KS,1032,9979,3354.0,31574.0,10.62,10.34
2020-07-18,KS,0,0,3354.0,31574.0,10.62,
2020-07-19,KS,0,0,3354.0,31574.0,10.62,
2020-07-20,KS,1369,12178,3276.0,30356.0,10.79,11.24
2020-07-21,KS,0,0,3276.0,30356.0,10.79,
2020-07-22,KS,770,7155,3171.0,29312.0,10.82,10.76
2020-07-23,KS,0,0,3171.0,29312.0,10.82,
2020-07-24,KS,1005,9281,3144.0,28614.0,10.99,10.83
2020-07-25,KS,0,0,3144.0,28614.0,10.99,
2020-07-26,KS,0,0,3144.0,28614.0,10.99,
2020-07-27,KS,1063,969,2838.0,17405.0,16.31,109.7
2020-07-28,KS,0,0,2838.0,17405.0,16.31,
2020-07-29,KS,698,6013,2766.0,16263.0,17.01,11.61
2020-07-30,KS,0,0,2766.0,16263.0,17.01,
2020-07-31,KS,942,7558,2703.0,14540.0,18.59,12.46
2020-08-01,KS,0,0,2703.0,14540.0,18.59,
2020-08-02,KS,0,0,2703.0,14540.0,18.59,
2020-08-03,KS,1064,9332,2704.0,22903.0,11.81,11.4
2020-08-04,KS,0,0,2704.0,22903.0,11.81,
2020-08-05,KS,841,6879,2847.0,23769.0,11.98,12.23
2020-08-06,KS,0,0,2847.0,23769.0,11.98,
2020-08-07,KS,921,7794,2826.0,24005.0,11.77,11.82
2020-08-08,KS,0,0,2826.0,24005.0,11.77,
2020-08-09,KS,0,0,2826.0,24005.0,11.77,
2020-08-10,KS,1092,10157,2854.0,24830.0,11.49,10.75
2020-08-11,KS,0,0,2854.0,24830.0,11.49,
2020-08-12,KS,817,7894,2830.0,25845.0,10.95,10.35
2020-08-13,KS,0,0,2830.0,25845.0,10.95,
2020-08-14,KS,1338,8480,3247.0,26531.0,12.24,15.78
2020-08-15,KS,0,0,3247.0,26531.0,12.24,
2020-08-16,KS,0,0,3247.0,26531.0,12.24,
2020-08-17,KS,1282,11219,3437.0,27593.0,12.46,11.43
2020-08-18,KS,0,0,3437.0,27593.0,12.46,
2020-08-19,KS,723,5578,3343.0,25277.0,13.23,12.96
2020-08-20,KS,0,0,3343.0,25277.0,13.23,
2020-08-21,KS,966,6475,2971.0,23272.0,12.77,14.92
2020-08-22,KS,0,0,2971.0,23272.0,12.77,
2020-08-23,KS,0,0,2971.0,23272.0,12.77,
2020-08-24,KS,1545,20642,3234.0,32695.0,9.89,7.48
2020-08-25,KS,0,0,3234.0,32695.0,9.89,
2020-08-26,KS,1536,8140,4047.0,35257.0,11.48,18.87
2020-08-27,KS,0,0,4047.0,35257.0,11.48,
2020-08-28,KS,1111,8050,4192.0,36832.0,11.38,13.8
2020-08-29,KS,0,0,4192.0,36832.0,11.38,
2020-08-30,KS,0,0,4192.0,36832.0,11.38,
2020-08-31,KS,1564,10102,4211.0,26292.0,16.02,15.48
2020-09-01,KS,0,0,4211.0,26292.0,16.02,
2020-09-02,KS,1328,5998,4003.0,24150.0,16.58,22.14
2020-09-03,KS,0,0,4003.0,24150.0,16.58,
2020-09-04,KS,1280,7958,4172.0,24058.0,17.34,16.08
2020-09-05,KS,0,0,4172.0,24058.0,17.34,
2020-09-06,KS,0,0,4172.0,24058.0,17.34,
2020-09-07,KS,1694,9481,4302.0,23437.0,18.36,17.87
2020-09-08,KS,0,0,4302.0,23437.0,18.36,
2020-09-09,KS,496,4728,3470.0,22167.0,15.65,10.49
2020-09-10,KS,0,0,3470.0,22167.0,15.65,
2020-09-11,KS,976,7516,3166.0,21725.0,14.57,12.99
2020-09-12,KS,0,0,3166.0,21725.0,14.57,
2020-09-13,KS,0,0,3166.0,21725.0,14.57,
2020-09-14,KS,1513,9451,2985.0,21695.0,13.76,16.01
2020-09-15,KS,0,0,2985.0,21695.0,13.76,
2020-09-16,KS,971,5845,3460.0,22812.0,15.17,16.61
2020-09-17,KS,0,0,3460.0,22812.0,15.17,
2020-09-18,KS,1415,10523,3899.0,25819.0,15.1,13.45
2020-09-19,KS,0,0,3899.0,25819.0,15.1,
2020-09-20,KS,0,0,3899.0,25819.0,15.1,
2020-09-21,KS,1674,9942,4060.0,26310.0,15.43,16.84
2020-09-22,KS,0,0,4060.0,26310.0,15.43,
2020-09-23,KS,1267,7590,4356.0,28055.0,15.53,16.69
2020-09-24,KS,0,0,4356.0,28055.0,15.53,
2020-09-25,KS,1366,10489,4307.0,28021.0,15.37,13.02
2020-09-26,KS,0,0,4307.0,28021.0,15.37,
2020-09-27,KS,0,0,4307.0,28021.0,15.37,
2020-09-28,KS,2037,11139,4670.0,29218.0,15.98,18.29
2020-09-29,KS,0,0,4670.0,29218.0,15.98,
