date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
2020-03-07,LA,0,0,,,,
2020-03-08,LA,0,5,,,,0.0
2020-03-09,LA,1,1,,,,100.0
2020-03-10,LA,0,6,,,,0.0
2020-03-11,LA,5,31,,,,16.13
2020-03-12,LA,8,8,,,,100.0
2020-03-13,LA,22,22,36.0,73.0,49.32,100.0
2020-03-14,LA,15,87,51.0,160.0,31.87,17.24
2020-03-15,LA,39,86,90.0,241.0,37.34,45.35
2020-03-16,LA,25,57,114.0,297.0,38.38,43.86
2020-03-17,LA,22,120,136.0,411.0,33.09,18.33
2020-03-18,LA,103,152,234.0,532.0,43.98,67.76
2020-03-19,LA,107,230,333.0,754.0,44.16,46.52
2020-03-20,LA,126,236,437.0,968.0,45.14,53.39
2020-03-21,LA,107,1719,529.0,2600.0,20.35,6.22
2020-03-22,LA,257,738,747.0,3252.0,22.97,34.82
2020-03-23,LA,335,2450,1057.0,5645.0,18.72,13.67
2020-03-24,LA,216,2655,1251.0,8180.0,15.29,8.14
2020-03-25,LA,407,2848,1555.0,10876.0,14.3,14.29
2020-03-26,LA,510,6578,1958.0,17224.0,11.37,7.75
2020-03-27,LA,441,3330,2273.0,20318.0,11.19,13.24
2020-03-28,LA,569,3802,2735.0,22401.0,12.21,14.97
2020-03-29,LA,225,2710,2703.0,24373.0,11.09,8.3
2020-03-30,LA,485,6162,2853.0,28085.0,10.16,7.87
2020-03-31,LA,1212,4934,3849.0,30364.0,12.68,24.56
2020-04-01,LA,1187,6809,4629.0,34325.0,13.49,17.43
2020-04-02,LA,2726,5310,6845.0,33057.0,20.71,51.34
2020-04-03,LA,1147,2559,7551.0,32286.0,23.39,44.82
2020-04-04,LA,2199,4853,9181.0,33337.0,27.54,45.31
2020-04-05,LA,514,1827,9470.0,32454.0,29.18,28.13
2020-04-06,LA,1857,8841,10842.0,35133.0,30.86,21.0
2020-04-07,LA,1417,5489,11047.0,35688.0,30.95,25.82
2020-04-08,LA,746,6751,10606.0,35630.0,29.77,11.05
2020-04-09,LA,1253,5513,9133.0,35833.0,25.49,22.73
2020-04-10,LA,970,5361,8956.0,38635.0,23.18,18.09
2020-04-11,LA,761,4635,7518.0,38417.0,19.57,16.42
2020-04-12,LA,581,7130,7585.0,43720.0,17.35,8.15
2020-04-13,LA,421,4046,6149.0,38925.0,15.8,10.41
2020-04-14,LA,502,10331,5234.0,43767.0,11.96,4.86
2020-04-15,LA,433,3506,4921.0,40522.0,12.14,12.35
