date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
2020-03-04,NY,0,0,,,,
2020-03-05,NY,16,44,,,,36.36
2020-03-06,NY,11,27,,,,40.74
2020-03-07,NY,43,43,,,,100.0
2020-03-08,NY,29,29,,,,100.0
2020-03-09,NY,37,37,,,,100.0
2020-03-10,NY,31,31,167.0,211.0,79.15,100.0
2020-03-11,NY,43,43,210.0,254.0,82.68,100.0
2020-03-12,NY,0,0,194.0,210.0,92.38,
2020-03-13,NY,205,2892,388.0,3075.0,12.62,7.09
2020-03-14,NY,103,103,448.0,3135.0,14.29,100.0
2020-03-15,NY,205,1969,624.0,5075.0,12.3,10.41
2020-03-16,NY,221,221,808.0,5259.0,15.36,100.0
2020-03-17,NY,750,1713,1527.0,6941.0,22.0,43.78
2020-03-18,NY,682,7391,2166.0,14289.0,15.16,9.23
2020-03-19,NY,1770,7687,3936.0,21976.0,17.91,23.03
2020-03-20,NY,2950,10143,6681.0,29227.0,22.86,29.08
2020-03-21,NY,3254,13010,9832.0,42134.0,23.34,25.01
2020-03-22,NY,4812,15964,14439.0,56129.0,25.72,30.14
2020-03-23,NY,5707,16888,19925.0,72796.0,27.37,33.79
2020-03-24,NY,4790,12981,23965.0,84064.0,28.51,36.9
2020-03-25,NY,5146,12209,28429.0,88882.0,31.99,42.15
2020-03-26,NY,6447,18625,33106.0,99820.0,33.17,34.61
2020-03-27,NY,7377,23649,37533.0,113326.0,33.12,31.19
2020-03-28,NY,7683,10181,41962.0,110497.0,37.98,75.46
2020-03-29,NY,7195,16426,44345.0,110959.0,39.97,43.8
2020-03-30,NY,6984,14108,45622.0,108179.0,42.17,49.5
2020-03-31,NY,9298,18718,50130.0,113916.0,44.01,49.67
2020-04-01,NY,7917,15694,52901.0,117401.0,45.06,50.45
2020-04-02,NY,8669,18085,55123.0,116861.0,47.17,47.93
2020-04-03,NY,10482,21555,58228.0,114767.0,50.74,48.63
2020-04-04,NY,10841,23101,61386.0,127687.0,48.08,46.93
2020-04-05,NY,8327,18659,62518.0,129920.0,48.12,44.63
2020-04-06,NY,8658,18531,64192.0,134343.0,47.78,46.72
2020-04-07,NY,8174,19247,63068.0,134872.0,46.76,42.47
2020-04-08,NY,10453,25095,65604.0,144273.0,45.47,41.65
2020-04-09,NY,10621,26396,67556.0,152584.0,44.27,40.24
2020-04-10,NY,10575,26336,67649.0,157365.0,42.99,40.15
2020-04-11,NY,9946,23095,66754.0,157359.0,42.42,43.07
2020-04-12,NY,8236,20621,66663.0,159321.0,41.84,39.94
2020-04-13,NY,6337,16756,64342.0,157546.0,40.84,37.82
2020-04-14,NY,7177,20786,63345.0,159085.0,39.82,34.53
2020-04-15,NY,11571,26869,64463.0,160859.0,40.07,43.06
2020-04-16,NY,8505,24567,62347.0,159030.0,39.2,34.62
2020-04-17,NY,7358,22644,59130.0,155338.0,38.07,32.49
2020-04-18,NY,7090,23309,56274.0,155552.0,36.18,30.42
2020-04-19,NY,6054,21023,54092.0,155954.0,34.68,28.8
2020-04-20,NY,4726,16306,52481.0,155504.0,33.75,28.98
